timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/22 11:10:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 920 MiB, 40960 MiB
2026/01/22 11:11:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1176 MiB, 40960 MiB
2026/01/22 11:12:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 738 MiB, 40960 MiB
2026/01/22 11:13:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1062 MiB, 40960 MiB
2026/01/22 11:14:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 997 MiB, 40960 MiB
2026/01/22 11:15:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 728 MiB, 40960 MiB
2026/01/22 11:16:34.554, 0, NVIDIA A100-SXM4-40GB, 7 %, 2 %, 899 MiB, 40960 MiB
2026/01/22 11:17:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 790 MiB, 40960 MiB
2026/01/22 11:18:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1283 MiB, 40960 MiB
2026/01/22 11:19:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 819 MiB, 40960 MiB
2026/01/22 11:20:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 915 MiB, 40960 MiB
2026/01/22 11:21:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 968 MiB, 40960 MiB
2026/01/22 11:22:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 892 MiB, 40960 MiB
2026/01/22 11:23:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 933 MiB, 40960 MiB
2026/01/22 11:24:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 937 MiB, 40960 MiB
2026/01/22 11:25:34.554, 0, NVIDIA A100-SXM4-40GB, 7 %, 3 %, 1129 MiB, 40960 MiB
2026/01/22 11:26:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 758 MiB, 40960 MiB
2026/01/22 11:27:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 921 MiB, 40960 MiB
2026/01/22 11:28:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 824 MiB, 40960 MiB
2026/01/22 11:29:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 984 MiB, 40960 MiB
2026/01/22 11:30:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 940 MiB, 40960 MiB
2026/01/22 11:31:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1040 MiB, 40960 MiB
